t,t1,t2,t3,t4,hour_sin,hour_cos,dayofweek,target
105.0,103.0,117.0,89.0,102.0,0.9961946980917455,-0.08715574274765801,5,117.0
108.0,83.0,96.0,106.0,121.0,0.4226182617406994,0.9063077870366499,3,112.0
60.0,81.0,81.0,89.0,90.0,-0.7372773368101242,0.6755902076156601,5,73.0
57.0,60.0,63.0,66.0,69.0,0.10886687485196457,0.9940563382223196,0,53.0
111.0,97.0,79.0,99.0,77.0,0.9940563382223196,-0.10886687485196461,1,104.0
2.0,1.0,4.0,2.0,3.0,0.44228869021900125,0.8968727415326884,4,3.0
123.0,119.0,134.0,162.0,170.0,0.4226182617406995,-0.9063077870366499,1,127.0
55.0,45.0,47.0,38.0,37.0,0.7518398074789774,0.6593458151000688,2,62.0
80.0,95.0,85.0,56.0,85.0,-0.2588190451025208,-0.9659258262890683,6,79.0
20.0,26.0,20.0,20.0,12.0,0.9961946980917455,-0.08715574274765801,6,23.0
87.0,99.0,89.0,79.0,80.0,0.9961946980917455,-0.08715574274765801,6,131.0
56.0,57.0,55.0,44.0,61.0,0.6755902076156602,0.737277336810124,4,60.0
59.0,54.0,43.0,46.0,46.0,0.46174861323503397,0.8870108331782217,3,72.0
96.0,89.0,84.0,73.0,77.0,0.9469301294951056,0.3214394653031617,6,88.0
0.0,0.0,12.0,53.0,55.0,0.44228869021900125,0.8968727415326884,0,0.0
64.0,64.0,68.0,68.0,62.0,-0.5000000000000004,0.8660254037844384,0,46.0
20.0,16.0,19.0,16.0,21.0,0.15212338618991672,0.9883615104677607,6,14.0
63.0,60.0,57.0,70.0,80.0,-0.21643961393810288,0.9762960071199334,6,59.0
86.0,83.0,87.0,74.0,83.0,-0.8660254037844386,0.5000000000000001,3,93.0
129.0,129.0,129.0,129.0,129.0,-0.7372773368101242,0.6755902076156601,5,127.0
31.0,21.0,20.0,32.0,25.0,0.5372996083468238,0.8433914458128857,6,14.0
85.0,95.0,77.0,106.0,75.0,-0.36243803828370186,0.9320078692827984,0,94.0
17.0,19.0,17.0,17.0,17.0,0.9063077870366498,0.4226182617406996,5,17.0
155.0,146.0,160.0,126.0,149.0,-0.6755902076156598,0.7372773368101244,2,146.0
105.0,118.0,124.0,119.0,158.0,-0.36243803828370186,0.9320078692827984,4,103.0
